g_pas,ih_soma,vm_meas,rin_meas,tau_meas,error_total,error_vm,error_rin,error_tau
7e-05,8e-05,-70.63035374411317,136.4951652445302,11.129599320565074,0.5275152879366216,0.06820113794045952,0.364951652445302,-0.37474161120420935
7e-05,0.0001,-70.61028102803884,136.6484681563773,11.114167444481142,0.5292262335908502,0.06846594949816828,0.36648468156377306,-0.3756085705347673
7e-05,0.00012,-70.59011877612274,136.80419344041098,11.098902787991214,0.5309479226352518,0.06873194226751005,0.3680419344041098,-0.3764661355061116
7e-05,0.000148,-70.56173709227284,137.02635358929513,11.077815304843918,0.533376904780485,0.06910637081434251,0.37026353589295125,-0.3776508255705664
7e-05,0.00018,-70.52907295641904,137.28630359298336,11.054125042389456,0.5361804152996806,0.06953729608945851,0.3728630359298336,-0.3789817391916036
8e-05,8e-05,-72.10658004174245,113.04365935668443,9.69000129213356,0.47641955184191764,0.04872585696909697,0.13043659356684428,-0.4556179049363168
8e-05,0.0001,-72.0930493696809,113.07653067619356,9.671979828640614,0.4774960477277858,0.04890436187756068,0.13076530676193557,-0.4566303467055835
8e-05,0.00012,-72.07951331779108,113.11010128156795,9.654044266555282,0.47856986439827054,0.04908293776001207,0.13110101281567949,-0.4576379625530741
8e-05,0.000148,-72.06055334738221,113.15827774347184,9.629077097976241,0.4800688106338358,0.04933306929574916,0.1315827774347184,-0.4590406124732449
8e-05,0.00018,-72.03887045858791,113.21502391806575,9.60074448014426,0.4817757662242204,0.0496191232376265,0.13215023918065755,-0.46063233257616526
9e-05,8e-05,-73.07508097477135,98.76879710169788,8.83715124284916,0.5049625709617795,0.03594879980512723,-0.01231202898302115,-0.503530829053418
9e-05,0.0001,-73.06374979961262,98.76693914931906,8.82018457519293,0.5059241536761874,0.03609828760405507,-0.012330608506809426,-0.5044840126296106
9e-05,0.00012,-73.05242594487196,98.76548960151808,8.803298243030504,0.506881142707944,0.03624767882754672,-0.012345103984819162,-0.5054326829758145
9e-05,0.000148,-73.03658468157727,98.76414386645934,8.77979092388267,0.5082132906244329,0.036456666469956864,-0.012358561335406647,-0.5067533188829961
9e-05,0.00018,-73.0184974359165,98.76357843897381,8.753113516078772,0.5097249883155339,0.03669528448658966,-0.012364215610261908,-0.508252049658496
9.54e-05,8e-05,-73.4898342170151,92.89904368029909,8.480223128047138,0.5292545132571833,0.030477121147557996,-0.07100956319700913,-0.5235829703344305
9.54e-05,0.0001,-73.479186537143,92.88813191724415,8.463918492941561,0.5301834247296819,0.030617591858271818,-0.07111868082755848,-0.5244989610706988
9.54e-05,0.00012,-73.46854845919373,92.87756429819723,8.447692266907527,0.5311075242781794,0.030757935894541826,-0.07122435701802772,-0.525410546802948
9.54e-05,0.000148,-73.4536711590165,92.86334474159872,8.425105828320337,0.532393264892414,0.0309542063454288,-0.07136655258401277,-0.5266794478471721
9.54e-05,0.00018,-73.43669119469354,92.84791037172994,8.39947683274817,0.5338513769755205,0.031178216428845117,-0.07152089628270061,-0.5281192790590915
0.0001,8e-05,-73.80161879029448,88.57580039684478,8.212796899428744,0.5512201891358469,0.026363868201919705,-0.11424199603155216,-0.5386069157624301
0.0001,0.0001,-73.7914154479088,88.55975010107727,8.19703717246161,0.5521250184490278,0.02649847694051706,-0.1144024989892273,-0.5394922936819321
0.0001,0.00012,-73.78122274750591,88.54400796328719,8.181354068935853,0.5530250128146699,0.02663294528356319,-0.11455992036712814,-0.5403733669137162
0.0001,0.000148,-73.7669707425855,88.52248346775923,8.1595257025049,0.5542769306012193,0.026820966456655642,-0.1147751653224077,-0.5415996796345561
0.0001,0.00018,-73.75070795815144,88.49861373292583,8.134759148199379,0.5556963180846296,0.027035515063965166,-0.11501386267074168,-0.5429910590899225
0.00011,8e-05,-74.37976224677305,80.74986335266829,7.714491880317262,0.5987029214680347,0.018736645820935916,-0.19250136647331714,-0.5666015797574573
0.00011,0.0001,-74.37026565680921,80.72731087679045,7.699816554758019,0.5995596164233119,0.018861930648954982,-0.19272689123209547,-0.5674260362495495
0.00011,0.00012,-74.36078062606992,80.70501727264627,7.685217523814844,0.6004114386303232,0.018987062980607813,-0.19294982727353727,-0.568246206527256
0.00011,0.000148,-74.34752092073106,80.67423796197971,7.664900656694053,0.601596154325782,0.019161993130197102,-0.19325762038020286,-0.5693876035565139
0.00011,0.00018,-74.33239446010526,80.63967311443633,7.641852941579395,0.6029390671745501,0.019361550658241876,-0.19360326885563667,-0.5706824190123936
